number,mainstory,name,centercharacterimage,rightcenterimage,leftcenterimage,backimage,stillimage,charactercolor,bgm_state,bgm_num,se_num,selectdisp,selectbutton_num,monthimage,selectbuttontext3,selectbuttontext1,selectbuttontext2,textcolor
57,「あの日銅像にぶつかって以来、ボーっとしていることが増えたと言っていたが......本当に大丈夫か？」,目鏡 光,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
58,「心配してくれてありがとうございます、光先輩！ ……でも、授業中もぼんやりすることが多くて内容がなかなか頭に入らないんですよね。」,えみ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,「それは心配だな......。放課後勉強をみてやろう。」,目鏡 光,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
60,教室,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4
61,「......じゃあここをこうして、こうすれば......！」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,「正解だ。今日はここまでにしようか。」 ,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
62,「助かりました！ありがとうございます。」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,「ああ。困っている生徒を助けるのは生徒会長の務めだからな。」,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
64,光先輩、勉強教えるのが上手くて早めに終われたな。これからどうしよう?,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,                ,,6,0,0,0,0,0,0,0,0,1,2,0,0,ショッピングに誘う,帰る,4
65,やっぱりせっかくのチャンスだし光先輩を誘って仲良くなるべきだよね！,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,「光先輩、これから時間空いてますか？商店街で買いたいものがあって。」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,「ああ。いいぞ。僕も行きたい所があったんだ」,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
68,光先輩が行きたい所ってどこなんだろう？,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,                ,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4
70,「え、ここ……ですか？」,えみ,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
71,「ここだ。」,目鏡 光,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3
72,目の前にあるのは女子高生御用達のファンシーショップだ。,えみ,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
73,「光先輩って意外とかわいいものが好きなんですね。」,えみ,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
74,「別に僕がかわいい物好きな訳ではないからな。,目鏡 光,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3
75,年の離れた妹に誕生日プレゼントを買いにきただけだ、勘違いしないでくれ。」,目鏡 光,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3
76,ちょっとムキになっているようにみえるのは気のせい？,えみ,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
76,「これもかわいいな……ぬいぐるみも捨て難いし……こっちの限定コラボのお菓子もいいな。」,目鏡 光,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
77,さっきから私そっちのけで真剣に悩んでるな,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
78,かまって欲しいからイタズラしちゃえ！,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
79,「光先輩！」,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
80,           ,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
81,「な、なんだ？！」,目鏡 光,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3
82,「かわいい〜！その帽子似合ってますよ。」,えみ,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
83,「先輩に対してなにを……ってこれ持ってるぞ。かわいいよな、これ」,目鏡 光,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
84,「もってるんですか？！やっぱり光先輩ってかわいいものが好きなんですね。」,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
85,「勘違いしないでくれ。妹からもらっただけだからな！」,目鏡 光,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3
86,やっぱりかわいい物好きを否定しているときの光先輩はムキになっているような気がする。,えみ,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
87,「今日は本当にありがとうございました。」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,「お疲れ様。」,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
89,今日は早く帰って教えてもらったところを復習しよう。,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,夜, ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4
94,あれ？イ〇スタのフォローリクエストがきてる。めずらしいな、どんな人だろう？,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
95,………………？！,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
96,ヒィ〜〜！！！おじさんの自撮りだらけ？！,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
97,フォロワーも沢山いるし謎……あ、よく見るとおじさんになった桜児(おうじ)くんだ！,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
98,おじさんに見える呪いって現実だけじゃなくて写真にもかかってるんだ……。,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
99,それはともかく、桜児くんってもうすぐ誕生日か。,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
100,おじさんに見える呪いを解くためにもお誕生日お祝いして親愛度上げないと！,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
101,あ！桜児くんからDMきてる。,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
102,「この前倒れてた子だよね？イ〇スタでもよろしくねっ！」,犬山 桜児,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
103,桜児くんイ〇スタでも気さくだなー。誕生日のこと聞いてみよう。,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
104,「桜児くんって今度誕生日なんだよね？」,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
105,「そうだよ〜！」,犬山 桜児,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
106,「桜児くんいつもクラスで馴染めるように沢山声かけてくれて助かってるから、お近づきの印に誕プレ渡してもいい？」,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
107,「わ〜！嬉しい！ありがとー！誕プレ楽しみにしてるね！」,犬山 桜児,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
108,誕生日プレゼント、何にしよう？,えみ,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
109, , ,0,0,0,12,0,0,0,0,0,1,3,0,スイーツ,煮干し１kg,手編みのマフラー,0
110,今日は桜児くんの誕生日。私なりにイ〇スタ映えしそうなスイーツを選んでみたけど喜んでくれるかな……？,えみ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印に可愛いスイーツを選んでみたよ。」,えみ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,「わ〜！かわいい！ありがとう！イ〇スタに載せちゃお！」,犬山 桜児,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,どうやら喜んでくれたみたいだ。よかった！,えみ,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,今日は桜児くんの誕生日。思いきって煮干し1kgを選んで見たけど喜んでくれるかな……？,えみ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印に煮干し1kgを選んでみたよ。」,えみ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,「え！やばい！僕誕生日に煮干し１kgもらったのはじめて！,犬山 桜児,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,実はイ〇スタで煮干しダイエットが流行ってるらしいから気になってたんだよね、今日から挑戦しちゃお！」,犬山 桜児,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,煮干しダイエット……？まぁいいや、予想外にもとても喜んでくれたみたい！よかった！,えみ,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,今日は桜児くんの誕生日。私なりに頑張って手編みマフラーに挑戦したけど喜んでくれるかな……？,えみ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印にこれ、手作りしてみたよ。」,えみ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,「え……？手作り？5月にマフラーって斬新だね〜、あはは、ありがとう……」,犬山 桜児,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,ちょっと引かれちゃった？,えみ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,                           ,6月,0,0,0,0,0,0,2,0,2,0,0,6,0,0,0,4
124,もうすぐ転校して2か月かぁ……OG☆３とも少しずつ仲良くなれている気がする！,えみ,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0
125,桜児くんとは誕生日のとき以来、DMで時々会話している。,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
126,おじさんの自撮りだらけのイ〇スタもなんだか見なれちゃったかも。多分。,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
127,あ！今日も桜児くんからDMがきた！,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
128,「最近学園の近くにかき氷屋さんができたんだって〜！今度行かない？」,犬山 桜児,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
129,「そこ気になってるとこだ〜！」,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
130,「そのお店カップル割あるって！折角だしカップルとしていこうよ〜！」,犬山 桜児,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
131,不覚にもドキッとしてしまった……人気ものの桜児くんからすれば多分ファンサみたいなものなのに。,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
132,ていうかDMだから顔見えないし忘れてたけど、今の桜児くんは私から見ればおじさんの見た目なんだっだ。あぶないあぶない。,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
133,銅像の呪いにかけられなければこんな乙女ゲームみたいな展開、純粋に楽しめたのに〜！,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
134,呪いのせいとはいえおじさんとカップルとしてデートかぁ。,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
135,でもあのかき氷屋さん気になってたんだよね,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
136,返信どうしようかな？,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
137, , ,0,0,0,11,0,0,0,0,0,1,2,0,0,行く,行かない,0
138,桜児くんと仲良くなるチャンスだし行くしかないよね！ここのかき氷屋さん気になってたし楽しみだなぁ。,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
139,「私もそこのかき氷すごく食べたかったし、いいよー！」,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
140,「じゃあ土曜日に学校の近くの商店街で待ち合わせね！」,犬山 桜児,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
141,[当日],,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
142,……早めに着いちゃった。さすがに桜児くんも来てないみたい。,えみ,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
143,「ごっめ〜ん！先にきてたんだね、待った？」,犬山 桜児,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1
144,「こっちが早めに着いちゃっただけだから大丈夫だよ。」,えみ,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
145, , ,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
146,私達はそれぞれ好みのトッピングが乗ったかき氷を選んだ。,えみ,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
147,「お待たせいたしました。ご注文のかき氷でございます。」,店員,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4
148,「わ〜っ！おいしそう！みてみて！この飾りのクッキー可愛い〜っ！イ〇スタに載せちゃお！」,犬山 桜児,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1
149,桜児くんいつもよりテンション高い。見た目はおじさんに見えてるけど私より女子高生みたいなテンションだ……,えみ,9,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0
150,「私もイ〇スタにかき氷の写真のせよう！」,えみ,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
151,元々乙女ゲームしてばっかりしててイ○スタは投稿してなかったけど、桜児くんといると私もつられてイ〇スタに投稿したくなっちゃった。,えみ,9,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0
152,           ,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
153,「あ〜！かき氷おいしかった！」,犬山 桜児,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1
154,「奢ってくれてありがとう……本当に大丈夫なの？」,えみ,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
155,「カップル割でかき氷食べよって誘ったの僕だし全然いいよー！ファンサだよっ！」,犬山 桜児,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1
156,今の見た目がおじさんなせいでパパ活してる人みたいな気分になっちゃったけど。,えみ,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
157,「ねぇねぇ！折角だしツーショ撮らない？これもファンサってことで！」,犬山 桜児,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1
158,桜児くんはファンサって言いながら色んなことをしてくれるなぁ。,えみ,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
159,「こっちきて！撮るよ〜」,犬山 桜児,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1
160,「うん！いい感じ！二人とも盛れてる〜っ！」,犬山 桜児,9,0,0,10,0,0,0,0,3,0,0,0,0,0,0,1
161,そ、そうなんだ……桜児くんが普通の男の子に戻った時のために写真大切に残しとかなきゃ！,えみ,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
162,「これもイ〇スタにのせるの？」,えみ,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
163,「んーん！これは二人だけの写真だよ。可愛い子との写真を載せたら他の子達が嫉妬しちゃうから！」,犬山 桜児,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1
164,わ〜！これも元の姿で言われたかったよ〜！呪いを解くためにがんばらなきゃ。,えみ,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
165,今月はお小遣い使い過ぎちゃってかき氷を食べる余裕はないな……,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
166,「かき氷食べたかったけど今月金欠で行けそうにないな！ごめんね！」,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
167,「そういうときもあるよね〜！他の人誘うから気にしないで！」,犬山 桜児,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1
168,か、悲しい……また金欠にならないようにバイトして稼がないと！,えみ,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
169,,7月,0,0,0,0,0,0,2,0,2,0,0,7,0,0,0,4
170,[体育館],,0,0,0,13,0,0,1,1,0,0,0,0,0,0,0,0
171,今日は体育祭。昨日まで天気が不安だったけど、無事に晴れてよかった！,えみ,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
172,私は小道具の係になったから朝から忙しいし気合い入れて頑張ろう！,えみ,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
173,────皆よりもちょっと遅めに来ちゃったから軽めの荷物は運ばれちゃったみたい……,えみ,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
174,さっき気合い入れて頑張ろうとしてたのに、重そうな小道具ばかりでやる気なくなりそう。,えみ,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
175,でも係の仕事だしそんなこと言ってられないよね。頑張るぞ！,えみ,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
176,｢ぐぐぐ、重い！｣,えみ,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
177,なんとか持てたけどフラフラしちゃう、よ……わっ！,えみ,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
178,｢［主人公の名前］先輩、大丈夫？！｣,本田 琉絆空,12,0,0,13,0,0,0,1,0,0,0,0,0,0,0,2
179,｢琉絆空くん？！｣,えみ,12,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
180,,,0,0,0,13,71,0,0,1,0,0,0,0,0,0,0,0
181,｢女の子がこんなに重い荷物持っちゃだめだろ？俺が持つからさ！｣,本田 琉絆空,12,0,0,13,71,0,0,1,0,0,0,0,0,0,0,2
182,｢あ、ありがとう……！｣,えみ,12,0,0,13,71,0,0,1,0,0,0,0,0,0,0,0
183,へ〜、おじさんって力持ちなんだな〜。,えみ,12,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
184,ってちがうちがう！呪いのせいでそう見えてるだけで高校生の男子なんだった。,えみ,12,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
185,最近おじさんの姿のOG☆3に見慣れてきてる！あの性格の悪い銅像に洗脳されちゃうよ〜！,えみ,12,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0
186,[運動場],,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
187,琉絆空くんの協力のおかげで無事に係の仕事も終わってよかった！,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
188,私の出番はまだだから友達の応援でもしようかな。,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
189,｢キャーーーーｯ！！｣,女子生徒たち,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,4
190,？！！,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
191,女子たちの歓声が聞こえてくる。なんだろう？,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
192,｢桜児くんがんばってー！｣,女子生徒たち,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,4
193,歓声を向けられている方を見ると、リレーのアンカーとしてバトンを待つ桜児くんが見えた。,,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
194,桜児くんの前の人は一位と大差つけられて二位みたい。,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
195,おじさんの呪いをかけられる前の桜児くんを思い出すと、小柄で女の子みたいだし大丈夫かな……？,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
196,ちょっと心配だけど桜児くんにがんばってほしいし私も応援しよう！,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
197,｢桜児くんがんばれーー！！｣,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
198,ついに桜児くんにバトンが渡ったその時​─────,,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
199,,,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
200,｢おまたせ〜！ごめんね一位の人！抜かしちゃうよ！｣,犬山 桜児,0,0,0,7,72,0,0,1,0,0,0,0,0,0,0,1
201,｢キャーーー！｣,女子生徒たち,0,0,0,7,72,0,0,1,0,0,0,0,0,0,0,4
202,桜児くん速い！あっという間に一位の人を抜かしちゃった！,えみ,0,0,0,7,72,0,0,1,0,0,0,0,0,0,0,0
203,桜児くんって見かけによらず運動神経よかったんだ……,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
204,リレーが終わって桜児くんは応援席にきてくれた。,えみ,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
