number,mainstory,name,centercharacterimage,rightcenterimage,leftcenterimage,backimage,stillimage,charactercolor,bgm,se,selectdisp,selectbutton_num,monthimage,selectbuttontext3,selectbuttontext1,selectbuttontext2,textcolor,fadeanimation,moveanimation
37,そのときはまた、わしがおじさんに見える呪いを解いて見せよう！,銅像,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
38,わしの暇つぶしコンテンツとして１年頑張るがよいぞ！ふぉふぉふぉ！」,銅像,statue,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
39,最悪……きっとこれは悪い夢だ、そうに違いない,えみ,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_monologue,0,0
40,「おい大丈夫か？！」,???,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
41,「息はある様だが……」,???,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
42,「起きて？！うーん、返事がないねぇ……」,???,clear,clear,clear,black,0,0,dark,0,0,0,0,0,0,0,text_mob,0,0
43,                                      ,,clear,clear,clear,back_classroom,0still_April,0,shock,0,0,0,0,0,0,0,text_own,0,0
44,「ぎゃーーーー！！！お・じ・さ・ん？！！！！」,えみ,clear,clear,clear,still_April,0,0,shock,0,0,0,0,0,0,0,text_own,0,0
45,「この僕に向かっておじさん……だと？！」,目鏡 光,ouziojitrouble,hikaruoji,rukiaoji,back_garden,0,2,shock,0,0,0,0,0,0,0,text_hikaru,0,0
46,「この子、まだ寝ぼけてるのかもね」,犬山 桜児,ouziojitrouble,hikaruoji,rukiaoji,back_garden,0,3,shock,0,0,0,0,0,0,0,text_ouji,0,0
47,「はは、こいつおもしれ～！」,本田 琉絆空,ouziojitrouble,hikaruoji,rukiaoji,back_garden,0,1,shock,0,0,0,0,0,0,0,text_rukia,0,0
48,転校初日からとんでもない目にあっちゃった……。私、イケメン達とドキドキ？トキメキライフする予定だったのに、,えみ,ouziojitrouble,hikaruoji,rukiaoji,back_garden,0,0,shock,0,0,0,0,0,0,0,text_monologue,0,0
49,これからこのおじさん達とシワシワ？ドギマギライフをおくんなきゃいけないの？？,えみ,ouziojitrouble,hikaruoji,rukiaoji,back_garden,0,0,shock,0,0,0,0,0,0,0,text_monologue,0,0
50,                           ,month5月,clear,clear,clear,back_classroom,0,0,0,jingle,0,0,month_May,0,0,0,text_mob,0,0
51,あれから数週間たったけど、未だにおじさんになったOG☆３に慣れないよ......。,えみ,clear,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
52,クリスマスまでに OG☆３の誰かと両思いかぁ。,えみ,clear,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
53,それを達成しないと３人が一生おじさんに見える呪いにかけてやるって言われたときは冗談だと思ったけど,えみ,clear,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
54,数週間たってもおじさんに見えてるから本当なんだろうな......。,えみ,clear,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
55,ていうかそろそろ誰かと仲良くならないとまずいぞ！どうしよう......。 ,えみ,clear,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
56,「おい、大丈夫か？さっきからボーっとしているぞ。」,目鏡 光,hikaruoji,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_hikaru,0,0
57,「ハッ！ごめんなさい、考え事をしてて......。」,えみ,hikaruoji,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
58,OG☆３の３人は4月のあの日からなにかと気にかけてくれていて、幸い接点は途切れていない。OG☆３は見た目だけじゃなくて中身も優しいんだな～。,えみ,hikaruoji,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
59,「あの日銅像にぶつかって以来、ボーっとしていることが増えたと言っていたが......本当に大丈夫か？」,目鏡 光,hikaruoji,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_hikaru,0,0
60,「心配してくれてありがとうございます、光先輩！ ……でも、授業中もぼんやりすることが多くて内容がなかなか頭に入らないんですよね。」,えみ,hikaruoji,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
61,「それは心配だな......。放課後勉強をみてやろう。」,目鏡 光,hikaruoji,clear,clear,back_corridor,0,0,normal,0,0,0,0,0,0,0,text_hikaru,0,0
62,教室,,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
63,「......じゃあここをこうして、こうすれば......！」,えみ,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
64,「正解だ。今日はここまでにしようか。」 ,目鏡 光,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_hikaru,0,0
65,「助かりました！ありがとうございます。」,えみ,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
66,「ああ。困っている生徒を助けるのは生徒会長の務めだからな。」,目鏡 光,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_hikaru,0,0
67,光先輩、勉強教えるのが上手くて早めに終われたな。これからどうしよう?,えみ,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
68, ,,hikaruoji,clear,clear,back_classroom,0,0,normal,0,1,2,0,0,ショッピングに誘う 帰る,69 94,0,0,0
69,やっぱりせっかくのチャンスだし光先輩を誘って仲良くなるべきだよね！,えみ,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
70,「光先輩、これから時間空いてますか？商店街で買いたいものがあって。」,えみ,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
71,「ああ。いいぞ。僕も行きたい所があったんだ」,目鏡 光,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_hikaru,0,0
72,光先輩が行きたい所ってどこなんだろう？,えみ,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
73,  ,                ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,0,1,0
74,  ,                ,clear,clear,clear,back_shopload,0,0,normal,0,0,0,0,0,0,0,0,0,0
75,                                  ,  ,clear,clear,clear,back_shopload,0,0,normal,0,0,0,0,0,0,0,0,0,ファンシーショップ
76,「え、ここ……ですか？」,えみ,hikaruoji,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_own,0,0
77,「ここだ。」,目鏡 光,hikaruoji,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_hikaru,0,0
78,目の前にあるのは女子高生御用達のファンシーショップだ。,えみ,hikaruoji,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_monologue,0,0
79,「光先輩って意外とかわいいものが好きなんですね。」,えみ,hikaruoji,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_own,0,0
80,「別に僕がかわいい物好きな訳ではないからな。,目鏡 光,hikaruoji,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_hikaru,0,0
81,年の離れた妹に誕生日プレゼントを買いにきただけだ、勘違いしないでくれ。」,目鏡 光,hikaruoji,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_hikaru,0,0
82,ちょっとムキになっているようにみえるのは気のせい？,えみ,hikaruoji,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_monologue,0,0
83,「これもかわいいな……ぬいぐるみも捨て難いし……こっちの限定コラボのお菓子もいいな。」,目鏡 光,hikaruoji,clear,clear,back_shopload,0,0,fancyshop,0,0,0,0,0,0,0,text_hikaru,0,0
84,さっきから私そっちのけで真剣に悩んでるな,えみ,hikaruoji,clear,clear,back_shopload,0,0,fancyshop,0,0,0,0,0,0,0,text_monologue,0,0
85,かまって欲しいからイタズラしちゃえ！,えみ,hikaruoji,clear,clear,back_shopload,0,0,fancyshop,0,0,0,0,0,0,0,text_monologue,0,0
86,「光先輩！」,えみ,hikaruoji,clear,clear,back_shopload,0,0,fancyshop,0,0,0,0,0,0,0,text_own,0,0
87,           ,,clear,clear,clear,back_classroom,1still_May_hikaru,0,fancyshop,0,0,0,0,0,0,0,text_own,0,0
88,「な、なんだ？！」,目鏡 光,clear,clear,clear,still_May_hikaru,0,0,fancyshop,0,0,0,0,0,0,0,text_hikaru,0,0
89,「かわいい〜！その帽子似合ってますよ。」,えみ,clear,clear,clear,still_May_hikaru,0,0,fancyshop,0,0,0,0,0,0,0,text_own,0,0
90,「先輩に対してなにを……ってこれ持ってるぞ。かわいいよな、これ」,目鏡 光,hikaruoji,clear,clear,back_shopload,0,0,fancyshop,0,0,0,0,0,0,0,text_hikaru,0,0
91,「もってるんですか？！やっぱり光先輩ってかわいいものが好きなんですね。」,えみ,hikaruoji,clear,clear,back_shopload,0,0,fancyshop,0,0,0,0,0,0,0,text_own,0,0
92,「勘違いしないでくれ。妹からもらっただけだからな！」,目鏡 光,hikaruoji,clear,clear,back_shopload,0,0,fancyshop,0,0,0,0,0,0,0,text_hikaru,0,0
93,やっぱりかわいい物好きを否定しているときの光先輩はムキになっているような気がする。,えみ,hikaruoji,clear,clear,back_shopload,0,0,fancyshop,0,0,0,0,0,0,0,text_monologue,0,0
94,  ,                ,clear,clear,clear,back_shopload,0,0,fancyshop,0,0,0,0,0,0,0,0,1,0
95,「今日は本当にありがとうございました。」,えみ,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
96,「お疲れ様。」,目鏡 光,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_hikaru,0,0
97,今日は早く帰って教えてもらったところを復習しよう。,えみ,hikaruoji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
98,  ,                ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,0,1,0
99,                                  ,  ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,0,0,部屋
100,夜, ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
101,あれ？イ〇スタのフォローリクエストがきてる。めずらしいな、どんな人だろう？,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
102,………………？！,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
103,ヒィ〜〜！！！おじさんの自撮りだらけ？！,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
104,フォロワーも沢山いるし謎……あ、よく見るとおじさんになった桜児(おうじ)くんだ！,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
105,おじさんに見える呪いって現実だけじゃなくて写真にもかかってるんだ……。,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
106,それはともかく、桜児くんってもうすぐ誕生日か。,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
107,おじさんに見える呪いを解くためにもお誕生日お祝いして親愛度上げないと！,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
108,あ！桜児くんからDMきてる。,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
109,「この前倒れてた子だよね？イ〇スタでもよろしくねっ！」,犬山 桜児,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_ouji,0,0
110,桜児くんイ〇スタでも気さくだなー。誕生日のこと聞いてみよう。,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
111,「桜児くんって今度誕生日なんだよね？」,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_own,0,0
112,「そうだよ〜！」,犬山 桜児,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_ouji,0,0
113,「桜児くんいつもクラスで馴染めるように沢山声かけてくれて助かってるから、お近づきの印に誕プレ渡してもいい？」,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_own,0,0
114,「わ〜！嬉しい！ありがとー！誕プレ楽しみにしてるね！」,犬山 桜児,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_ouji,0,0
115,誕生日プレゼント、何にしよう？,えみ,clear,clear,clear,back_heroineroom_night,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
116, , ,clear,clear,clear,back_heroineroom_night,0,0,room,0,1,3,0,スイーツ,スイーツ 煮干し１kg 手編みのマフラー,117 124 132,0,0,0
117,  ,                ,clear,clear,clear,back_heroineroom_night,0,0,normal,0,0,0,0,0,0,0,0,1,0
118,  ,                ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,0,0,0
119,                                  ,  ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,0,0,教室
120,今日は桜児くんの誕生日。私なりにイ〇スタ映えしそうなスイーツを選んでみたけど喜んでくれるかな……？,えみ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
121,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印に可愛いスイーツを選んでみたよ。」,えみ,ouzioji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
122,「わ〜！かわいい！ありがとう！イ〇スタに載せちゃお！」,犬山 桜児,ouziojismile,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_ouji,0,0
123,どうやら喜んでくれたみたいだ。よかった！,えみ,ouziojismile,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
124,  ,                ,clear,clear,clear,back_heroineroom_night,0,0,normal,0,0,0,0,0,0,0,0,1,0
125,  ,                ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,0,0,0
126,                                  ,  ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,0,0,教室
127,今日は桜児くんの誕生日。思いきって煮干し1kgを選んで見たけど喜んでくれるかな……？,えみ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
128,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印に煮干し1kgを選んでみたよ。」,えみ,ouzioji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
129,「え！やばい！僕誕生日に煮干し１kgもらったのはじめて！,犬山 桜児,ouziojismile,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_ouji,0,0
130,実はイ〇スタで煮干しダイエットが流行ってるらしいから気になってたんだよね、今日から挑戦しちゃお！」,犬山 桜児,ouziojismile,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_ouji,0,0
131,煮干しダイエット……？まぁいいや、予想外にもとても喜んでくれたみたい！よかった！,えみ,ouziojismile,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
132,  ,                ,clear,clear,clear,back_heroineroom_night,0,0,normal,0,0,0,0,0,0,0,0,1,0
133,  ,                ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,0,0,0
134,                                  ,  ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,0,0,教室
135,今日は桜児くんの誕生日。私なりに頑張って手編みマフラーに挑戦したけど喜んでくれるかな……？,えみ,clear,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
136,「桜児くん誕生日おめでとう！いつも話しかけてくれてありがとう！お近づきの印にこれ、手作りしてみたよ。」,えみ,ouzioji,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_own,0,0
137,「え……？手作り？5月にマフラーって斬新だね〜、あはは、ありがとう……」,犬山 桜児,ouziojitrouble,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_ouji,0,0
138,ちょっと引かれちゃった？,えみ,ouziojitrouble,clear,clear,back_classroom,0,0,normal,0,0,0,0,0,0,0,text_monologue,0,0
139,                           ,month6月,clear,clear,clear,back_classroom,0,0,0,jingle,0,0,month_June,0,0,0,text_mob,0,0
140,もうすぐ転校して2か月かぁ……OG☆３とも少しずつ仲良くなれている気がする！,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
141,桜児くんとは誕生日のとき以来、DMで時々会話している。,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
142,おじさんの自撮りだらけのイ〇スタもなんだか見なれちゃったかも。多分。,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
143,あ！今日も桜児くんからDMがきた！,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
144,「最近学園の近くにパンケーキ屋さんができたんだって〜！今度行かない？」,犬山 桜児,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_ouji,0,0
145,「そこ気になってるとこだ〜！」,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_own,0,0
146,「そのお店カップル割あるって！折角だしカップルとしていこうよ〜！」,犬山 桜児,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_ouji,0,0
147,不覚にもドキッとしてしまった……人気ものの桜児くんからすれば多分ファンサみたいなものなのに。,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
148,ていうかDMだから顔見えないし忘れてたけど、今の桜児くんは私から見ればおじさんの見た目なんだっだ。あぶないあぶない。,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
149,銅像の呪いにかけられなければこんな乙女ゲームみたいな展開、純粋に楽しめたのに〜！,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
150,呪いのせいとはいえおじさんとカップルとしてデートかぁ。,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
151,でもあのパンケーキ屋さん気になってたんだよね,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
152,返信どうしようかな？,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
153, , ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,1,2,0,0,行く 行かない,155 185,0,0,0
154,桜児くんと仲良くなるチャンスだし行くしかないよね！ここのパンケーキ屋さん気になってたし楽しみだなぁ。,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_monologue,0,0
155,「私もそこのパンケーキすごく食べたかったし、いいよー！」,えみ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_own,0,0
156,「じゃあ土曜日に学校の近くの商店街で待ち合わせね！」,犬山 桜児,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,text_ouji,0,0
157,  ,                ,clear,clear,clear,back_heroineroom_noon,0,0,room,0,0,0,0,0,0,0,0,1,0
158,  ,                ,clear,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,0,0,0
159,                                  ,  ,clear,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,0,0,商店街
160,……早めに着いちゃった。さすがに桜児くんも来てないみたい。,えみ,clear,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_monologue,0,0
161,「ごっめ〜ん！先にきてたんだね、待った？」,犬山 桜児,ouziojitrouble,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_ouji,0,0
162,「こっちが早めに着いちゃっただけだから大丈夫だよ。」,えみ,ouziojitrouble,clear,clear,back_shopload,0,0,street,0,0,0,0,0,0,0,text_own,0,0
163,   ,   ,clear,clear,clear,back_cafe,0,0,cafe,0,0,0,0,0,0,0,text_own,0,0
164,私達はそれぞれ好みのトッピングが乗ったパンケーキを選んだ。,えみ,clear,clear,clear,back_cafe,0,0,cafe,0,0,0,0,0,0,0,text_monologue,0,0
165,「お待たせいたしました。ご注文のパンケーキでございます。」,店員,clear,clear,clear,back_cafe,0,0,cafe,0,0,0,0,0,0,0,text_mob,0,0
166,「わ〜っ！おいしそう！みてみて！この飾りのクッキー可愛い〜っ！イ〇スタに載せちゃお！」,犬山 桜児,ouziojismile,clear,clear,back_cafe,0,0,cafe,0,0,0,0,0,0,0,text_ouji,0,0
167,桜児くんいつもよりテンション高い。見た目はおじさんに見えてるけど私より女子高生みたいなテンションだ……,えみ,ouziojismile,clear,clear,back_cafe,0,0,cafe,camera,0,0,0,0,0,0,text_monologue,0,0
168,「私もイ〇スタにパンケーキの写真のせよう！」,えみ,ouziojismile,clear,clear,back_cafe,0,0,cafe,0,0,0,0,0,0,0,text_own,0,0
169,元々乙女ゲームしてばっかりしててイ○スタは投稿してなかったけど、桜児くんといると私もつられてイ〇スタに投稿したくなっちゃった。,えみ,ouziojismile,clear,clear,back_cafe,0,0,cafe,camera,0,0,0,0,0,0,text_monologue,0,0
170,           ,,clear,clear,clear,back_cafe,0,0,cafe,0,0,0,0,0,0,0,0,0,0
171,「あ〜！パンケーキおいしかった！」,犬山 桜児,ouziojismile,clear,clear,back_cafe,0,0,cafe,0,0,0,0,0,0,0,text_ouji,0,0
